,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-01-30,0.15399488390447075,0.28085371941226966,0.049247984496004864,0.045158590765613,0.01580258577244284,0.017672022906336262,0.026113699964073752
2024-01-31,0.23586026875698035,0.4715734007274622,0.08220041805712187,0.07739394969817322,0.021825289997266847,0.017460231997813474,0.036980379006604946
2024-02-01,0.2823339099962871,0.5355376888171828,0.09485394529960087,0.0932386990202771,0.008967401757625216,0.03798613663789066,0.04728772728089321
2024-02-02,0.3054231190864277,0.5824361939738202,0.10346344454573948,0.10079810990872978,0.019990009777572617,0.028470619986239787,0.05270093486814599
2024-02-05,0.37303289348418495,0.6194665407340998,0.10327663700434343,0.10314778280970296,0.055278449500765235,0.019134847904111043,0.0921951762652623
2024-02-06,0.4402793706468029,0.668343250516105,0.11121676555650215,0.10940949311620897,0.058319291438690815,0.06054362674982086,0.10079019378558009
2024-02-07,0.3804464087687722,0.7137545795730232,0.11469067347273232,0.11424527279905179,0.0387498586102047,0.03028724581027494,0.08247335807650848
2024-02-08,0.37402943859556215,0.7322934335362103,0.10000013294155428,0.11629870754132016,0.05156137852355846,0.030007656038821315,0.07616156355030791
2024-02-09,0.4224019887265138,0.7469919296680944,0.09998737529722701,0.11638002190772809,0.06176376329548988,0.045215736148396364,0.09905509207767244
2024-02-12,0.4342353422905289,0.7680597527820887,0.09953223629396597,0.12317713351949881,0.06334595776975523,0.0464909803556085,0.10168903435170039
2024-02-13,0.4295662878829653,0.7856724097383889,0.0949507374015609,0.1230600779059817,0.046249670713669075,0.051806168255240634,0.11349963360651301
2024-02-14,0.458155970625288,0.7977489419706888,0.08628797708263301,0.12528350518728448,0.08155873218483486,0.047790264230381366,0.11723549194015428
2024-02-15,0.4790329210614886,0.8080529010537213,0.08883119255473568,0.12984313386666663,0.07160281556919092,0.06908158966886728,0.11967418940202801
2024-02-16,0.3627721439980367,0.818023959789194,0.0897571791552366,0.12846762135014902,0.029436951647120246,0.031138509545797718,0.0839718822997332
2024-02-19,0.3799443381540462,0.8198305231937061,0.09455975561329381,0.13122404318201913,0.036067427073420456,0.03171887203619956,0.0863742402491133
2024-02-20,0.46597331765003425,0.823288028152348,0.09478729559694743,0.1296368252337655,0.07089781459283871,0.03895954787408407,0.1316918343523985
2024-02-21,0.4543499094354796,0.8297387234989811,0.09544368467913399,0.135744047016526,0.06152924699477626,0.050655915828798956,0.1109770149162444
2024-02-22,0.42772631255204796,0.8353825909380337,0.09948133818242837,0.13901322366103527,0.04865462828136234,0.026064979436444115,0.1145121429907778
2024-02-23,0.3908461724731492,0.840712740118418,0.09819245004191197,0.12932024364380038,0.051413322016602175,0.021859405619303645,0.09006075115153102
2024-02-26,0.4786141584712106,0.8426799365868319,0.10219082746336414,0.14390852375201021,0.07037670193231682,0.026730876823607256,0.13540722849991219
