,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2024-01-30,0.9496062992125984,0.7480314960629921,0.9291338582677166,0.8960629921259843,0.7259842519685039,0.784251968503937,0.6456692913385826,0.14488188976377953,0.05826771653543307,0.5070866141732283,0.27874015748031494,0.14960629921259844,0.7905511811023622,0.2755905511811024,0.3354330708661417
2024-01-31,0.9496062992125984,0.7322834645669292,0.9291338582677166,0.8866141732283465,0.7370078740157481,0.8330708661417323,0.6409448818897637,0.048818897637795275,0.007874015748031496,0.12755905511811025,0.2803149606299213,0.14015748031496064,0.831496062992126,0.27244094488188975,0.07716535433070866
2024-02-01,0.9669291338582677,0.7543307086614173,0.9322834645669291,0.9433070866141732,0.7433070866141732,0.9212598425196851,0.11653543307086614,0.11496062992125984,0.02047244094488189,0.6818897637795276,0.23622047244094488,0.13700787401574804,0.8803149606299212,0.42992125984251967,0.023622047244094488
2024-02-02,0.9669291338582677,0.7716535433070866,0.9228346456692913,0.9968503937007874,0.7669291338582677,0.8283464566929134,0.04566929133858268,0.4031496062992126,0.07086614173228346,0.33700787401574805,0.24566929133858267,0.14015748031496064,0.7606299212598425,0.5275590551181102,0.07559055118110236
2024-02-05,0.9669291338582677,0.631496062992126,0.8976377952755905,0.9716535433070866,0.6598425196850394,0.8614173228346457,0.84251968503937,0.4188976377952756,0.08503937007874016,0.10393700787401575,0.27716535433070866,0.07559055118110236,0.6897637795275591,0.6960629921259842,0.8614173228346457
2024-02-06,0.9669291338582677,0.6535433070866141,0.8755905511811024,0.8551181102362204,0.7039370078740157,0.8913385826771654,0.768503937007874,0.4377952755905512,0.11023622047244094,0.9322834645669291,0.32440944881889766,0.09606299212598425,0.7921259842519685,0.7354330708661417,0.7496062992125985
2024-02-07,0.9669291338582677,0.6503937007874016,0.7968503937007874,0.84251968503937,0.710236220472441,0.84251968503937,0.1984251968503937,0.46771653543307085,0.15433070866141732,0.16850393700787403,0.35748031496062993,0.10078740157480315,0.7858267716535433,0.7338582677165354,0.22362204724409449
2024-02-08,0.9669291338582677,0.6157480314960629,0.46614173228346456,0.8362204724409449,0.6818897637795276,0.8582677165354331,0.4031496062992126,0.47244094488188976,0.18740157480314962,0.1921259842519685,0.31968503937007875,0.09291338582677165,0.7511811023622047,0.7606299212598425,0.05826771653543307
2024-02-09,0.9669291338582677,0.6157480314960629,0.4251968503937008,0.8362204724409449,0.6818897637795276,0.8125984251968504,0.6141732283464567,0.47244094488188976,0.16220472440944883,0.48661417322834644,0.31968503937007875,0.09291338582677165,0.7259842519685039,0.7543307086614173,0.521259842519685
2024-02-12,0.9669291338582677,0.6157480314960629,0.3606299212598425,0.8362204724409449,0.6818897637795276,0.8818897637795275,0.6141732283464567,0.47244094488188976,0.15905511811023623,0.48661417322834644,0.31968503937007875,0.09291338582677165,0.7259842519685039,0.7511811023622047,0.521259842519685
