,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-01-30,0.15383982324550394,0.2804766182987889,0.04919262806922685,0.04511508637017904,0.01578591143488511,0.017679055795157307,0.02606714157605567
2024-01-31,0.2359416162640906,0.4714915469232605,0.08220501633272634,0.07740686767244809,0.02183647247432754,0.017527930820200134,0.03696532896438855
2024-02-01,0.2823653483533058,0.5355876117081612,0.09488187596823709,0.0932689953099259,0.008954268482348282,0.038041736906374066,0.04721847168642045
2024-02-02,0.3055133908509507,0.5824775200741744,0.10349107340051013,0.10082970155385762,0.01996028884989383,0.02854926162772694,0.0526830654189622
2024-02-05,0.3731540761707283,0.6195644402627781,0.10332507695348098,0.10319640313411177,0.05526540541907855,0.01923673599569789,0.09213045466835912
2024-02-06,0.44037027043847665,0.6684687427998944,0.11127262665713718,0.10946783046681555,0.058308799995006384,0.060599502851953056,0.1007215104675646
2024-02-07,0.3805089008565564,0.7138711699296001,0.11467899271870109,0.11430834309776153,0.03869582042609048,0.030393268917044247,0.08243247569695904
2024-02-08,0.37421061496946206,0.732448825641447,0.10001767452943956,0.11637037416733272,0.05156804816042587,0.030119390960956702,0.07613512715130723
2024-02-09,0.4225596382093087,0.7471996540498791,0.1000145746698125,0.11646382977454503,0.06176229746871276,0.04531304236398022,0.09900589393225814
2024-02-12,0.4343979073985946,0.7682739849859438,0.09956447905113791,0.1232589103637885,0.06334470862708613,0.04659107032521197,0.10163873903136993
2024-02-13,0.4296700815786834,0.7858922859644292,0.09499258783619893,0.1231476074268249,0.046190553879113916,0.0519031665496757,0.11343616588686986
2024-02-14,0.4583132725744519,0.7979672418897075,0.08634287290229234,0.12537117725639954,0.08153683966972712,0.047894607041770614,0.11716777570426236
2024-02-15,0.4791815809914597,0.8082884261600554,0.08888654655280362,0.12993047598086874,0.0715960568550911,0.06916195879085002,0.11960654281184621
2024-02-16,0.3629958012799959,0.8182700295707772,0.0898142701200739,0.1285610129533319,0.02939994083400716,0.03126930123385733,0.08395127613872565
2024-02-19,0.3801601672647634,0.8201035866397113,0.09461423517722942,0.13131876745570456,0.03602324165613686,0.03185033659431486,0.08635358638137772
2024-02-20,0.4661822893104024,0.8235801588807878,0.09484427790226312,0.1297373936679289,0.07089802198464935,0.03908371055124819,0.13161888520431284
2024-02-21,0.4545841217170232,0.8300426795856907,0.09550231453592371,0.13584083728214422,0.06154210521538767,0.050767927131461256,0.11093093755210634
2024-02-22,0.42800256945777304,0.8356984476638997,0.09953749942580406,0.13910951314696068,0.04868399056484401,0.0262077810170818,0.11446378530308245
2024-02-23,0.3911754910729231,0.8410404061246367,0.09825238389306505,0.1294311403817977,0.05144058143379139,0.02200853399204657,0.09004285137222227
2024-02-26,0.4787726717294475,0.8430390983277708,0.10225022501005572,0.14400823642255278,0.07038457269527808,0.026875701265485528,0.1352539363360754
2024-02-27,0.463959549599099,0.8476437986414955,0.10676967058692981,0.14241824155783386,0.07657841171527531,0.04515485656314509,0.09303836917591493
2024-02-28,0.43039409186632266,0.8521165922435622,0.10751003733914104,0.1383915213155692,0.04955195136618846,0.031677854623384766,0.10326272722203918
2024-02-29,0.4566567825070623,0.8560647879196047,0.1038300801962719,0.13441017230887256,0.07467231794937362,0.04658130310175212,0.09716290895079213
2024-03-01,0.4423095649611401,0.8596248457266961,0.10426187121586512,0.1319341144324047,0.059718486167306316,0.036330977384295464,0.1100641157612686
