,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2024-01-30,3.66,0.3480000000000003,0.19595112172494222,-0.0820000000000003,0.39200000000000035,104.26000213623047,0.0007357462347190591,14.526055728574052,12069.489953409127,0.0002244500972619079,6.585801514729865,-3.554,-70.99999999999996,20.39522676418308,-0.004458754425337164
2024-01-31,3.66,0.3410000000000002,0.19595112172494222,-0.08400000000000007,0.399,107.27999877929688,0.000688315903487613,12.43516812928646,9620.615051615338,-0.004712394345126936,6.592299436652777,-3.559,-64.5,20.26587437191895,-0.02220166901921461
2024-02-01,3.67,0.3500000000000001,0.2077777152328138,-0.07200000000000006,0.403,113.91999816894531,-0.01816909740937711,14.162198507642213,10324.922014279222,0.0021794679092139724,6.201265198920066,-3.565,-53.100000000000016,25.294276350516654,-0.03339226787747829
2024-02-02,3.67,0.36099999999999977,0.19339623900985728,-0.0389999999999997,0.4219999999999997,106.72000122070312,-0.028653390328863715,17.553141372234887,12426.578860824366,-0.0007499062617173369,6.229885133627379,-3.559,-74.30000000000004,29.24394547594468,-0.022451582046826957
2024-02-05,3.67,0.2869999999999999,0.17446761123033938,-0.06200000000000028,0.3580000000000001,108.68000030517578,0.009176732189415726,17.834536061922204,12701.634170841167,-0.005553470919324677,6.585183626425457,-3.607,-79.59999999999998,31.640497274683575,0.0157904162994148
2024-02-06,3.67,0.2969999999999997,0.16669227873381978,-0.0900000000000003,0.3780000000000001,110.5999984741211,0.0058310688725821125,17.94673292728761,13247.852925801879,0.0071692702437551326,7.005950746228063,-3.593,-70.79999999999997,32.69415052461954,0.008993728971083637
2024-02-07,3.67,0.2959999999999998,0.13723587071362292,-0.09200000000000008,0.3839999999999999,107.86000061035156,-0.012957118075381135,18.225288727468644,13838.425808293177,-0.003746440881162938,7.120849532388028,-3.591,-71.19999999999997,32.669544179610405,-0.008930706822019685
2024-02-08,3.67,0.2759999999999998,0.09320605356441554,-0.09499999999999975,0.36499999999999977,108.5999984741211,-0.004115600944536446,18.233167955841434,14274.32242692506,-0.003234055354993992,6.94619635007607,-3.599,-75.00000000000004,33.411738223741125,-0.0253355369403363
2024-02-09,3.67,0.2759999999999998,0.0877076483492026,-0.09499999999999975,0.36499999999999977,106.20999908447266,-0.0,18.233167955841434,13895.210966874709,0.0,6.94619635007607,-3.599,-77.0,33.23400566234304,-0.0
2024-02-12,3.67,0.2759999999999998,0.08102631151604275,-0.09499999999999975,0.36499999999999977,109.77999877929688,-0.0,18.233167955841434,13871.945551633578,0.0,6.94619635007607,-3.599,-77.0,33.212364170264124,-0.0
2024-02-13,3.67,0.23999999999999977,0.07283723744002613,-0.09999999999999964,0.3169999999999997,113.22000122070312,-0.011189405665662733,18.302329462196084,14019.806338933315,0.001433637666943488,6.845331333107669,-3.618,-85.69999999999997,32.47377862807102,0.013139990841215421
2024-02-14,3.67,0.17700000000000005,0.06255103179762452,-0.07699999999999996,0.2450000000000001,111.97000122070312,0.01102790261611497,18.913132153447414,13755.341288687585,0.000904159132007365,6.810617625662524,-3.651,-76.79999999999998,33.12132134069061,0.008516071325253116
2024-02-15,3.68,0.2200000000000002,0.058155870410113775,-0.07200000000000006,0.27500000000000036,112.08999633789062,0.00252626420353963,18.354318262815074,13809.522626586626,0.006398675097862183,7.024405734655698,-3.626,-76.30000000000004,33.70944164680403,0.008104965032340816
2024-02-16,3.68,0.2150000000000003,0.058155870410113775,-0.0770000000000004,0.27500000000000036,109.19999694824219,-0.013375147403939414,15.698574830925338,13644.179328419978,-0.0027675966788840434,6.6568399545477535,-3.627,-81.79999999999995,34.09069167379574,-0.01953284453696047
2024-02-19,3.69,0.2370000000000001,0.06514760568367646,-0.07000000000000028,0.29300000000000015,109.19999694824219,-0.011892357134607678,15.895196138318147,14612.073284933858,-0.0001500150015001367,5.3734299210138845,-3.625,-83.29999999999997,34.24518196647825,-0.013465250147576935
2024-02-20,3.7,0.2290000000000001,0.06514760568367646,-0.08400000000000007,0.2950000000000004,111.0199966430664,0.008383504070968772,16.201214001358437,14683.628172776534,0.0006001500375092395,5.383691530886357,-3.636,-78.09999999999997,35.8402594711453,0.016981112289208733
2024-02-21,3.7,0.22599999999999998,0.06514760568367646,-0.07200000000000006,0.29800000000000004,114.2699966430664,0.0016856036040868716,16.113675815112227,14378.590489654065,0.003073924126555827,5.284991671804438,-3.633,-84.60000000000001,36.06181571585981,0.0009168687446444723
2024-02-22,3.7,0.28100000000000014,0.06514760568367646,-0.08199999999999985,0.3580000000000001,115.58999633789062,-0.004130674778095367,16.096621957871378,14794.269262800774,-0.002167576052021891,5.3218220356356545,-3.602,-90.60000000000001,36.104312453542946,0.004782990498904294
2024-02-23,3.7,0.25,0.06514760568367646,-0.09399999999999986,0.32600000000000007,108.30999755859375,-0.0012873813898293118,15.89630437145143,14380.817281903528,-0.002996254681647992,5.412909533353822,-3.635,-79.19999999999999,36.50359992836758,-0.022864054641502207
2024-02-26,3.71,0.28200000000000003,0.0705243518972438,-0.06200000000000028,0.3700000000000001,110.7699966430664,0.007729457369378134,16.38522051845845,14052.855423975217,-0.0012772351615326638,5.342508694110921,-3.619,-87.80000000000001,39.35000016130039,0.025412671375045104
2024-02-27,3.72,0.27200000000000024,0.07463595859764567,-0.06600000000000028,0.3560000000000003,110.80000305175781,0.008322388687417193,16.915793426588454,14701.069574007386,0.0015797788309637184,5.319886750467289,-3.634,-87.99999999999994,39.34323198967107,-0.012936759155446231
2024-02-28,3.72,0.274,0.07463595859764567,-0.08300000000000018,0.3610000000000002,108.70999908447266,-0.010376941287856711,16.99232003275683,15853.084793151584,-7.510890791662117e-05,5.311030055506473,-3.639,-82.79999999999994,39.12486764907475,-0.00602725818720895
